IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
20.14.73.143,2053,8443,true,LAX,North America,US,Los Angeles,295,10.28
4.182.90.213,443,443,true,FRA,Europe,DE,Frankfurt,202,10.12
158.23.168.120,443,443,true,DFW,North America,US,Dallas,284,10.03
20.127.201.36,443,443,true,IAD,North America,US,Ashburn,330,9.90
20.217.216.51,8443,443,true,VIE,Europe,AT,Vienna,259,9.88
20.217.216.51,2053,443,true,VIE,Europe,AT,Vienna,284,9.87
130.0.239.147,8443,443,true,KBP,Europe,UA,Kyiv,292,9.79
13.67.136.12,443,443,true,ORD,North America,US,Chicago,321,9.71
20.221.32.145,443,443,true,ORD,North America,US,Chicago,336,9.52
48.217.34.120,443,443,true,IAD,North America,US,Ashburn,576,9.34
158.23.81.224,8443,443,true,DFW,North America,US,Dallas,267,8.90
158.23.81.224,2053,443,true,DFW,North America,US,Dallas,325,8.89
172.191.74.198,443,443,true,IAD,North America,US,Ashburn,403,8.84
4.255.56.138,443,443,true,IAD,North America,US,Ashburn,295,8.73
20.151.238.192,8443,443,true,YYZ,North America,CA,Toronto,374,8.58
20.25.205.37,2053,443,true,ORD,North America,US,Chicago,376,8.53
13.68.186.91,443,443,true,IAD,North America,US,Ashburn,379,8.42
130.0.239.147,2053,443,true,KBP,Europe,UA,Kyiv,226,8.41
20.220.29.122,2053,443,true,YYZ,North America,CA,Toronto,366,8.39
20.25.205.37,8443,443,true,ORD,North America,US,Chicago,338,8.36
20.220.29.122,8443,443,true,YYZ,North America,CA,Toronto,422,8.32
20.121.115.188,443,443,true,IAD,North America,US,Ashburn,316,8.32
74.249.233.213,443,443,true,ORD,North America,US,Chicago,360,8.32
20.36.131.211,443,443,true,IAD,North America,US,Ashburn,404,8.26
52.149.136.203,443,443,true,IAD,North America,US,Ashburn,363,8.20
4.172.225.82,8443,443,true,YYZ,North America,CA,Toronto,402,8.03
20.228.249.211,2053,443,true,IAD,North America,US,Ashburn,276,7.94
40.79.73.114,8443,443,true,IAD,North America,US,Ashburn,347,7.92
4.206.223.188,8443,443,true,YYZ,North America,CA,Toronto,474,7.92
20.84.117.28,443,443,true,IAD,North America,US,Ashburn,254,7.92
20.151.60.161,8443,443,true,YYZ,North America,CA,Toronto,256,7.66
20.228.249.211,8443,443,true,IAD,North America,US,Ashburn,293,7.65
172.212.108.47,443,443,true,IAD,North America,US,Ashburn,313,7.63
4.172.225.98,8443,443,true,YYZ,North America,CA,Toronto,217,7.56
40.123.42.160,8443,443,true,IAD,North America,US,Ashburn,385,7.50
40.123.47.252,8443,443,true,IAD,North America,US,Ashburn,353,7.45
172.177.248.69,8443,443,true,IAD,North America,US,Ashburn,416,7.40
20.62.172.88,443,443,true,IAD,North America,US,Ashburn,433,7.31
104.46.111.142,8443,443,true,IAD,North America,US,Ashburn,463,7.29
40.123.41.147,8443,443,true,IAD,North America,US,Ashburn,374,7.21
20.151.90.208,8443,443,true,YYZ,North America,CA,Toronto,292,7.11
4.239.248.70,8443,443,true,YYZ,North America,CA,Toronto,572,6.96
40.123.47.225,8443,443,true,IAD,North America,US,Ashburn,241,6.81
4.248.47.209,8443,443,true,YUL,North America,CA,Montréal,251,6.65
20.151.63.165,8443,443,true,YYZ,North America,CA,Toronto,326,6.46
172.174.249.255,443,443,true,IAD,North America,US,Ashburn,402,6.42
20.109.23.42,443,443,true,IAD,North America,US,Ashburn,264,6.30
20.246.127.166,443,443,true,IAD,North America,US,Ashburn,380,5.92
104.46.101.90,8443,443,true,IAD,North America,US,Ashburn,387,5.83
20.74.223.241,8080,443,true,ORD,North America,US,Chicago,467,4.27
191.235.86.71,2053,443,true,GRU,South America,BR,São Paulo,400,4.26
191.235.86.71,8443,443,true,GRU,South America,BR,São Paulo,372,4.07
130.0.239.23,443,443,true,KBP,Europe,UA,Kyiv,302,3.03
20.62.202.159,443,443,true,IAD,North America,US,Ashburn,294,0.26
20.204.43.57,80,443,false,BOM,Asia Pacific,IN,Mumbai,132,0.06
137.116.251.154,80,443,false,DUB,Europe,IE,Dublin,173,0.02
52.226.76.91,80,443,false,IAD,North America,US,Ashburn,227,0.02
13.90.157.110,80,443,false,IAD,North America,US,Ashburn,250,0.02
48.218.145.36,80,80,false,NRT,Asia Pacific,JP,Tokyo,71,0.00
20.48.5.180,80,80,false,NRT,Asia Pacific,JP,Tokyo,118,0.00
51.140.154.44,2086,2086,false,LHR,Europe,GB,London,154,0.00
51.140.44.206,2086,2086,false,LHR,Europe,GB,London,159,0.00
51.143.162.160,80,80,false,LHR,Europe,GB,London,159,0.00
104.40.244.228,80,80,false,AMS,Europe,NL,Amsterdam,159,0.00
13.95.193.125,80,443,false,AMS,Europe,NL,Amsterdam,161,0.00
20.58.24.221,2086,2086,false,LHR,Europe,GB,London,161,0.00
172.211.152.230,80,80,false,AMS,Europe,NL,Amsterdam,163,0.00
20.223.196.107,80,80,false,DUB,Europe,IE,Dublin,174,0.00
40.66.63.160,80,80,false,CDG,Europe,FR,Paris,182,0.00
51.140.191.188,2086,2086,false,LHR,Europe,GB,London,188,0.00
51.141.162.228,80,80,false,SEA,North America,US,Seattle,195,0.00
172.191.74.198,8080,80,false,IAD,North America,US,Ashburn,222,0.00
172.174.249.255,80,80,false,IAD,North America,US,Ashburn,223,0.00
4.255.56.138,80,80,false,IAD,North America,US,Ashburn,223,0.00
20.119.73.200,80,80,false,IAD,North America,US,Ashburn,223,0.00
4.255.56.137,80,80,false,IAD,North America,US,Ashburn,233,0.00
74.235.55.225,80,80,false,IAD,North America,US,Ashburn,246,0.00
48.216.217.172,80,80,false,IAD,North America,US,Ashburn,253,0.00
20.55.48.204,80,80,false,IAD,North America,US,Ashburn,285,0.00
